,theta,theta_std
Claude 4.5 Sonnet - 10132025,0.16164714097976685,0.112253614
Claude 4.5 Haiku -- 10222025,-0.2719150185585022,0.10443581
GPT-5 - 10132025,-0.4771430790424347,0.08641751
GLM-4.5 -- 10222025,-0.6151230335235596,0.10850982
Claude 4 Sonnet - 10132025,-0.702180802822113,0.0967075
Kimi - paper,-1.1470775604248047,0.09355017
GPT-5 Codex -- debug-oct22,-1.3596515655517578,0.1325695
GPT-5 High - paper,-1.37688148021698,0.108816095
Claude Opus 4.1 - paper,-1.7074103355407715,0.11852102
Gemini 2.5 Pro Preview -- debug-oct22,-1.992709994316101,0.1540389
Claude Sonnet 4 - paper,-2.226011276245117,0.09700231
GPT OSS - paper,-2.2856104373931885,0.10973159
Gemini 2.5 Pro Preview - paper,-2.599038600921631,0.14553235
GPT-4o - paper,-4.203432083129883,0.18484952
