,theta,theta_std
20251215_livesweagent_claude-opus-4-5,3.1590535640716553,0.17798382
20251205_sonar-foundation-agent_claude-opus-4-5,3.085874319076538,0.18948737
20250928_trae_doubao_seed_code,3.037946939468384,0.19385244
20250804_epam-ai-run-claude-4-sonnet,2.8194761276245117,0.18076971
20251127_openhands_claude-opus-4-5,2.7684154510498047,0.16909161
20250902_atlassian-rovo-dev,2.7463696002960205,0.16777614
20251120_livesweagent_gemini-3-pro-preview,2.715050220489502,0.16444755
20250819_ACoder,2.5190534591674805,0.15187366
20250612_trae,2.518599271774292,0.18607971
20250901_warp,2.4788026809692383,0.15602832
20250915_JoyCode,2.4647045135498047,0.16023663
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,2.452620506286621,0.2195976
20251015_Prometheus_v1.2.1_gpt5,2.420154333114624,0.18109602
20250731_harness_ai,2.4088122844696045,0.16140532
20251103_sonar-foundation-agent_claude-sonnet-4-5,2.369689464569092,0.17889181
20251103_SalesforceAIResearch_SAGE_OpenHands,2.3478004932403564,0.17019129
20250603_Refact_Agent_claude-4-sonnet,2.294813632965088,0.20600726
20251021_SalesforceAIResearch_SAGE_bash_only,2.210599422454834,0.17079286
20250522_tools_claude-4-opus,2.179194927215576,0.12844011
20250522_tools_claude-4-sonnet,2.0949718952178955,0.17643036
20250807_openhands_gpt5,2.0786402225494385,0.1731796
20250929_Prometheus_v1.2_gpt5,1.960302472114563,0.13860877
20250715_qodo_command,1.9522203207015991,0.17731166
20250519_trae,1.9119656085968018,0.16027278
20250623_warp,1.9088815450668335,0.15066658
20250515_Refact_Agent,1.8919321298599243,0.14506902
20251014_Lingxi_kimi_k2,1.8764535188674927,0.14133735
20250710_bloop,1.8638125658035278,0.1753
20250430_zencoder_ai,1.8359400033950806,0.1255059
20250611_moatless_claude-4-sonnet-20250514,1.820511817932129,0.14300478
20250524_openhands_claude_4_sonnet,1.809787392616272,0.17373078
20250610_augment_agent_v1,1.7814595699310303,0.16659653
20250519_devlo,1.7769640684127808,0.16369633
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,1.74345064163208,0.1982023
20250930_zai_glm4-6,1.5310571193695068,0.1582543
20250516_cortexa_o3,1.5147641897201538,0.16866638
