,b,b_std
astropy__astropy-12907,-0.933054506778717,0.23258275
astropy__astropy-13033,5.590256214141846,0.7466347
astropy__astropy-13236,3.3941733837127686,0.33343142
astropy__astropy-13398,10.614195823669434,3.0786185
astropy__astropy-13453,0.07389910519123077,0.22198856
astropy__astropy-13579,-1.3965778350830078,0.25130233
astropy__astropy-13977,10.950606346130371,2.575531
astropy__astropy-14096,-1.1116689443588257,0.25406504
astropy__astropy-14182,4.127437114715576,0.37997642
astropy__astropy-14309,-4.563995361328125,0.577003
astropy__astropy-14365,3.4253151416778564,0.35067883
astropy__astropy-14369,2.542722702026367,0.2803819
astropy__astropy-14508,-0.1984235644340515,0.20496657
astropy__astropy-14539,-1.3153492212295532,0.24166468
astropy__astropy-14598,4.037912368774414,0.39113966
astropy__astropy-14995,-2.8144242763519287,0.35960746
astropy__astropy-7166,-2.1157641410827637,0.3121972
astropy__astropy-7336,-3.7408499717712402,0.36264193
astropy__astropy-7606,3.977421522140503,0.3632697
astropy__astropy-7671,-2.618926525115967,0.32180768
astropy__astropy-8707,3.63065505027771,0.35659298
astropy__astropy-8872,3.812673568725586,0.3499101
django__django-10097,1.2608745098114014,0.22511837
django__django-10554,10.88878345489502,2.2967303
django__django-10880,-1.5871500968933105,0.24556537
django__django-10914,-2.9796619415283203,0.29855412
django__django-10973,-2.099212884902954,0.28992558
django__django-10999,11.360295295715332,2.1253603
django__django-11066,-5.0393171310424805,0.63652617
django__django-11087,11.281394958496094,1.0500646
django__django-11095,-3.3744547367095947,0.43862948
django__django-11099,-4.639102935791016,0.5558715
django__django-11119,-4.807114601135254,0.49145335
django__django-11133,-4.247114658355713,0.39813727
django__django-11138,3.1390161514282227,0.2712415
django__django-11141,2.748000144958496,0.23250425
django__django-11149,1.5733646154403687,0.1913765
django__django-11163,-4.331557750701904,0.46388724
django__django-11179,-3.0140206813812256,0.2557947
django__django-11206,1.36869215965271,0.30778342
django__django-11211,-1.0793336629867554,0.1991107
django__django-11239,1.132317304611206,0.18664809
django__django-11265,1.5620278120040894,0.20884499
django__django-11276,-1.6779873371124268,0.2586774
django__django-11292,-2.0384817123413086,0.26525164
django__django-11299,0.40493470430374146,0.24693447
django__django-11333,0.34057512879371643,0.19485062
django__django-11400,10.869023323059082,0.9679674
django__django-11433,2.8167824745178223,0.30763048
