,theta,theta_std
forge_code_gemini_3_1_pro,3.1531975269317627,0.34492162
terminus_kira_claude_opus_4_6,2.8560640811920166,0.48481628
terminus_kira_gemini_3_1_pro,2.8186721801757812,0.44558823
simple_codex_gpt_5_3_codex,2.5817863941192627,0.44033402
tongagents_claude_opus_4_6,2.4399592876434326,0.29376453
ante_gemini_3_pro,2.416841745376587,0.40184557
droid_gpt_5_3_codex,2.388989210128784,0.35512304
codebrain_1_gpt_5_3_codex,2.3725314140319824,0.2506986
crux_claude_opus_4_6,2.2358078956604004,0.3357895
mux_gpt_5_3_codex,2.0280542373657227,0.31396544
deep_agents_gpt_5_2_codex,1.9985624551773071,0.32226467
droid_claude_opus_4_6,1.9208436012268066,0.30990145
mux_claude_opus_4_6,1.8424829244613647,0.33737692
terminus_2_claude_opus_4_6,1.8050581216812134,0.3454259
codex_cli_gpt_5_2,1.7252002954483032,0.36594713
droid_gpt_5_2,1.7173923254013062,0.2916999
droid_gemini_3_pro,1.6141401529312134,0.26134434
ii_agent_gemini_3_pro,1.5552490949630737,0.3098732
junie_cli_gemini_3_flash,1.550889015197754,0.30971086
sageagent_gemini_3_pro,1.4849498271942139,0.31931108
"warp_claude_haiku_4_5_at_anthropic,gpt_5_2_at_openai",1.4557218551635742,0.29842198
"warp_claude_haiku_4_5_20251001_at_anthropic,gemini_3_pro_preview_at_google,gpt_5_nano_at_openai",1.4449645280838013,0.24185073
codebrain_1_gemini_3_pro,1.4389675855636597,0.3179547
droid_claude_opus_4_5,1.3985960483551025,0.257708
terminus_2_gpt_5_3_codex,1.2812387943267822,0.26013076
codex_cli_gpt_5_1_codex_max,1.185630202293396,0.30009788
mux_gpt_5_2,1.147733449935913,0.22689852
terminus_2_gemini_3_pro,1.1302781105041504,0.2595471
mux_claude_opus_4_5,1.0640063285827637,0.26521647
letta_code_claude_opus_4_5,1.030485987663269,0.33763266
terminus_2_claude_opus_4_5,0.9975842237472534,0.33929747
letta_code_gemini_3_pro,0.9327729344367981,0.30486864
crux_gpt_5_1_codex,0.925881564617157,0.32774442
terminus_2_gemini_3_flash,0.7873573303222656,0.26903394
abacus_ai_desktop_multiple,0.738772451877594,0.2742973
letta_code_gpt_5_1_codex,0.6224956512451172,0.3576596
terminus_2_glm_5,0.621804416179657,0.2503156
claude_code_claude_opus_4_6,0.5909456610679626,0.36808646
codex_cli_gpt_5,0.4794195890426636,0.38667446
openhands_claude_opus_4_5,0.449959397315979,0.27380058
goose_claude_opus_4_5,0.4393334686756134,0.39809898
opencode_claude_opus_4_5,0.4274587035179138,0.26053667
gemini_cli_gemini_3_flash,0.40822112560272217,0.3957458
terminus_2_gpt_5_2,0.3403466045856476,0.30665144
terminus_2_gpt_5_1,0.2970905601978302,0.32994053
claude_code_claude_opus_4_5,0.2968482971191406,0.26296395
"warp_claude_haiku_4_5_20251001_at_anthropic,claude_sonnet_4_5_20250929_at_anthropic,gpt_5_nano_at_openai",0.16753625869750977,0.3570745
codex_cli_gpt_5_codex,0.13662226498126984,0.23765668
camel_ai_claude_sonnet_4_5,-0.04952482134103775,0.22378077
terminus_2_kimi_k2_5,-0.053669095039367676,0.30112568
terminus_2_gpt_5_codex,-0.0559232234954834,0.23144473
openhands_gpt_5,-0.11120526492595673,0.33231813
goose_claude_sonnet_4_5,-0.13423427939414978,0.29774034
terminus_2_minimax_m2_5,-0.16089001297950745,0.30361345
terminus_2_claude_sonnet_4_5,-0.1810501515865326,0.28232694
mini_swe_agent_claude_sonnet_4_5,-0.20891624689102173,0.25026846
claude_code_claude_sonnet_4_5,-0.25467535853385925,0.25438896
maya_claude_4_5_sonnet,-0.2561628520488739,0.2521299
mini_swe_agent_gpt_5_codex,-0.32531577348709106,0.28067356
crux_gpt_5_1_codex_mini,-0.3789139688014984,0.2664692
openhands_claude_sonnet_4_5,-0.5188087224960327,0.34696388
mini_swe_agent_claude_opus_4_1,-0.7098830342292786,0.31120735
terminus_2_kimi_k2_thinking,-0.7576931715011597,0.25562912
terminus_2_deepseek_v3_2,-0.7615107893943787,0.23226844
claude_code_claude_opus_4_1,-0.7911176681518555,0.28588295
terminus_2_gpt_5_1_codex,-0.814965546131134,0.34502307
goose_claude_haiku_4_5,-0.836152195930481,0.36054638
openhands_claude_opus_4_1,-0.8625112175941467,0.26932546
terminus_2_claude_opus_4_1,-0.9375654458999634,0.29372627
crux_minimax_m2_1,-1.0521467924118042,0.31306005
codex_cli_gpt_5_mini,-1.0652413368225098,0.3864996
openhands_gpt_5_mini,-1.0775245428085327,0.2739325
terminus_2_gpt_5,-1.0873080492019653,0.26584843
terminus_2_kimi_k2_instruct,-1.182975172996521,0.2551531
spoox_m_gpt_5_mini,-1.1974173784255981,0.35434717
crux_glm_4_7,-1.3206150531768799,0.27914423
dakou_agent_qwen_3_coder_480b,-1.3258999586105347,0.32938763
terminus_2_glm_4_7,-1.3390499353408813,0.3842178
mini_swe_agent_gpt_5,-1.3577172756195068,0.24885693
terminus_2_minimax_m2_1,-1.3694884777069092,0.36531436
mini_swe_agent_claude_haiku_4_5,-1.4233579635620117,0.28823993
openhands_grok_4,-1.447570562362671,0.3053447
openhands_kimi_k2_instruct,-1.4610987901687622,0.34083873
claude_code_claude_haiku_4_5,-1.5548150539398193,0.29836458
terminus_2_minimax_m2,-1.6188820600509644,0.364895
terminus_2_gemini_2_5_pro,-1.6607308387756348,0.32384488
terminus_2_claude_haiku_4_5,-1.773587703704834,0.27975196
terminus_2_grok_4,-1.7793419361114502,0.38898745
mini_swe_agent_grok_code_fast_1,-1.868689775466919,0.35704887
mini_swe_agent_grok_4,-1.915963888168335,0.26040095
mini_swe_agent_gemini_2_5_pro,-2.002112865447998,0.33288878
openhands_qwen_3_coder_480b,-2.0314595699310303,0.35840353
terminus_2_qwen_3_coder_480b,-2.0590546131134033,0.33491254
mini_swe_agent_gpt_5_mini,-2.0606932640075684,0.32887247
terminus_2_gpt_5_mini,-2.0748884677886963,0.40710968
terminus_2_glm_4_6,-2.1640472412109375,0.34312412
terminus_2_gpt_oss_120b,-2.1689341068267822,0.37564388
gemini_cli_gemini_2_5_pro,-2.520521879196167,0.40271527
terminus_2_gemini_2_5_flash,-2.854811906814575,0.27034083
mini_swe_agent_gemini_2_5_flash,-2.955239772796631,0.40501863
gemini_cli_gemini_2_5_flash,-2.979179859161377,0.40632278
openhands_gemini_2_5_flash,-2.980670690536499,0.36509714
openhands_gemini_2_5_pro,-3.0591580867767334,0.39238816
mini_swe_agent_gpt_oss_120b,-3.0664732456207275,0.45752224
terminus_2_grok_code_fast_1,-3.096864700317383,0.34637702
openhands_claude_haiku_4_5,-3.4659557342529297,0.43410414
openhands_gpt_5_nano,-3.7256176471710205,0.42395997
terminus_2_gpt_5_nano,-3.8032665252685547,0.518864
codex_cli_gpt_5_nano,-4.08017110824585,0.5478807
mini_swe_agent_gpt_5_nano,-4.314845561981201,0.65820694
mini_swe_agent_gpt_oss_20b,-5.296375274658203,0.5316482
terminus_2_gpt_oss_20b,-6.307505130767822,0.89742213
