,b,b_std
adaptive-rejection-sampler,0.9776184558868408,0.23037362
bn-fit-modify,-0.924938976764679,0.2478046
break-filter-js-from-html,1.0543431043624878,0.2556757
build-cython-ext,0.1938178986310959,0.22257209
build-pmars,-1.388850450515747,0.19896986
build-pov-ray,-1.407140851020813,0.251165
caffe-cifar-10,4.301092624664307,0.6198557
cancel-async-tasks,0.4522912800312042,0.1978777
chess-best-move,2.1899356842041016,0.230809
circuit-fibsqrt,0.8231247067451477,0.2455546
cobol-modernization,-3.5906167030334473,0.4232319
code-from-image,-2.11724591255188,0.21988584
compile-compcert,0.09481830894947052,0.23482373
configure-git-webserver,-0.8022755980491638,0.27598646
constraints-scheduling,-4.346834659576416,0.37711036
count-dataset-tokens,-0.004347013309597969,0.1902624
crack-7z-hash,-1.418372392654419,0.21517725
custom-memory-heap-crash,-1.9455246925354004,0.3318133
db-wal-recovery,3.0287764072418213,0.3360279
distribution-search,-1.7777445316314697,0.27986464
dna-assembly,3.359072208404541,0.51319605
dna-insert,4.603766441345215,0.75290215
extract-elf,0.2385958433151245,0.23735413
extract-moves-from-video,5.974623680114746,0.7845561
feal-differential-cryptanalysis,0.3185608685016632,0.25356835
feal-linear-cryptanalysis,0.5862569808959961,0.23690684
filter-js-from-html,5.86058235168457,0.90751433
financial-document-processor,1.2309051752090454,0.29085302
fix-code-vulnerability,-1.2344695329666138,0.16849841
fix-git,-3.8936500549316406,0.4935508
fix-ocaml-gc,-0.8795878887176514,0.24585134
gcode-to-text,3.1709773540496826,0.43276972
git-leak-recovery,-3.431347370147705,0.39938992
git-multibranch,-2.4151101112365723,0.26412082
gpt2-codegolf,4.6462836265563965,0.593333
headless-terminal,-2.483689308166504,0.3272835
hf-model-inference,-1.5844087600708008,0.26906246
install-windows-3.11,4.985682487487793,0.5767078
kv-store-grpc,-0.956516444683075,0.23421122
large-scale-text-editing,-0.6247256994247437,0.3021166
largest-eigenval,0.34971883893013,0.20916575
llm-inference-batching-scheduler,-0.12855146825313568,0.23952256
log-summary-date-ranges,-1.783289909362793,0.22855598
mailman,-0.28673315048217773,0.2693815
make-doom-for-mips,8.121381759643555,1.191772
make-mips-interpreter,3.502340793609619,0.37888002
mcmc-sampling-stan,-0.9532030820846558,0.2569442
merge-diff-arc-agi-task,-1.9233938455581665,0.24069092
model-extraction-relu-logits,3.3993959426879883,0.35881516
modernize-scientific-stack,-5.301902770996094,0.49035776
mteb-leaderboard,3.2998993396759033,0.37044042
mteb-retrieve,4.157643795013428,0.49366105
multi-source-data-merger,-4.997262001037598,0.4770763
nginx-request-logging,-3.0796420574188232,0.30366537
openssl-selfsigned-cert,-1.2635858058929443,0.2789833
overfull-hbox,0.44294700026512146,0.20773923
password-recovery,-0.06578056514263153,0.21671942
path-tracing,1.9658650159835815,0.2826768
path-tracing-reverse,1.9536126852035522,0.20550478
polyglot-c-py,2.131429433822632,0.23565109
polyglot-rust-c,2.5562734603881836,0.36335212
portfolio-optimization,-3.8853206634521484,0.34245586
protein-assembly,1.9373499155044556,0.26226315
prove-plus-comm,-4.423095226287842,0.40209186
pypi-server,-1.7466384172439575,0.2525969
pytorch-model-cli,-1.032357931137085,0.23781706
pytorch-model-recovery,-0.128294438123703,0.22360635
qemu-alpine-ssh,1.1506396532058716,0.3034084
qemu-startup,-1.4240421056747437,0.22425061
query-optimize,0.5956510901451111,0.29902622
raman-fitting,5.120941638946533,0.6709056
regex-chess,3.215991735458374,0.3189395
regex-log,-2.055205821990967,0.2601871
reshard-c4-data,-0.4144956171512604,0.23556173
rstan-to-pystan,0.6093899607658386,0.23133802
sam-cell-seg,6.016002178192139,0.60089463
sanitize-git-repo,1.0420103073120117,0.20364484
schemelike-metacircular-eval,1.0226991176605225,0.29498923
sparql-university,0.5921162366867065,0.24049592
sqlite-db-truncate,-0.6514976620674133,0.23024441
sqlite-with-gcov,-2.002549409866333,0.30073676
torch-pipeline-parallelism,3.614982843399048,0.352406
torch-tensor-parallelism,3.3782832622528076,0.2976586
train-fasttext,5.661893367767334,0.67819166
tune-mjcf,-0.08006056398153305,0.25782737
video-processing,5.655599594116211,0.78907216
vulnerable-secret,-2.540637969970703,0.27519867
winning-avg-corewars,0.9852168560028076,0.24263746
write-compressor,1.9145689010620117,0.2508726
